id,reduced_formula,spacegroup
mp-1077954,Ce(ZnAu2)2,139
mp-1286297,Mg3Fe2O5,2
mp-1023488,Mg15Sb,187
mp-1184509,GdTe,187
mp-29110,Al2(FeSi)3,2
mp-567963,Lu5Ir2,15
mp-778408,HgBiO3,167
mp-1186142,NaHg3,225
mp-696701,HPbClO,62
mp-1189441,ThCrS3,62
mp-21372,CePRuO,129
mp-1104182,MoPO5,9
mp-2697,SrO2,139
mp-1106127,Ba2DyInSe5,36
mp-21005,GdIn,221
mp-977444,PaAgAu2,225
mp-755684,SrCa2I6,136
mp-1206808,Cs2LiAlF6,164
mp-20887,VSn2,70
mp-542018,Sr2Fe2O5,46
mp-545728,PrBi2IO4,123
mp-11873,TlAsPd5,123
mp-753007,Mn6O5F7,1
mp-4666,CdSiP2,122
mp-21076,EuRh3C,221
mp-1223969,HgPb2,12
mp-1080518,HfSnRh,189
mp-758560,FeOF,31
mp-1113353,Cs2CuSbI6,225
mp-10257,Ni,194
mp-862730,LiGaRh2,225
mp-1228433,Ba2Na(SnAs)6,12
mp-1188975,La(Fe2B)6,166
mp-31045,KAuI3,14
mp-779599,DyTiO3,62
mp-570377,Sn3As4,215
mp-865808,LiNd2Ir,225
mp-1187857,YLuHg2,225
mp-866164,YMgHg2,225
mp-1025519,RbCu4S3,123
mp-504909,Ni2SnP,62
mp-973099,La2PdRu,225
mp-1344,Sm3Se4,220
mp-10964,CeB2Ir2C,139
mp-1207112,Lu(MnSi)2,139
mp-1218015,TaCoNi2,38
mp-21124,SrIn4Pt,63
mp-1222600,Li2ZnSn,216
mp-1176494,MgV2O6,12
mp-567219,Li4Ca3(SiN3)2,12
mp-979287,TbLuHg2,225
mp-30779,SmMg3,225
mp-989637,BaReN3,15
mp-1187339,TbGaAu2,225
mp-1095406,Ba3(LiSb)4,71
mp-22191,HfFeGe,189
mp-1186110,NpAlO3,221
mp-21037,U2FeS5,15
mp-1186560,PmErPd2,225
mp-972119,SrCaTl2,225
mp-1072794,CaZnPb,194
mp-1227571,Ca4GaSn3,25
mp-542021,Sc2CrB2Rh5,127
mp-20514,GdSnAu,216
mp-752429,ScTlO3,62
mp-1522334,CaEuZnWO6,216
mp-1030448,Te6MoW3Se2,156
mp-24124,NdH2ClO2,11
mp-1205861,Tm2CdCu2,127
mp-1079587,YbPd,62
mp-1213864,CdGa(AgSe2)2,31
mp-1111138,K2LiCeBr6,225
mp-1183643,CdAu3,139
mp-504727,EuBrO,129
mp-862863,Pa3Te,221
mp-1095680,PrGeRh,62
mp-19176,La2NiRuO6,14
mp-1218011,SrPr3CrNiO8,38
mp-865939,LiMg2,139
mp-1181500,Dy3Ge5,190
mp-1518845,KSrZrBiO6,216
mp-1185962,MgPb5,8
mp-11350,CaAl9Co2,191
mp-730,P2Pt,205
mp-756762,TbTmO3,62
mp-867311,AcAgTe2,225
mp-1008734,ThH2,225
mp-2793,AuSe,12
mp-560929,Na3CrF6,14
mp-1215246,ZrTiRh,38
mp-865120,NaPaO3,221
mp-1227052,CaHF,216
mp-1222454,Lu(AlCu)6,71
mp-11118,CsPrCdSe3,63
mp-1189461,Ho2Co3Ge5,15
mp-2649,Zr5Sb3,193
mp-3627,Eu(Mo3S4)2,148
mp-1226990,Cd3(InSe3)2,146
mp-1187618,YbNdPd2,225
mp-977115,NaSrHg2,225
mp-1216647,Tm4CdSe7,8
mp-760381,CuS,216
mp-1178367,Dy2CuO4,139
mp-4075,TbZrSb,139
mp-1106100,LiEuGe2,62
mp-1104139,Ta5(NiP)4,87
mp-1113491,Cs3ScI6,225
mp-779166,LiCo3NiO8,166
mp-864620,CaSmCd2,225
mp-1184302,ErTm3,194
mp-1223098,La4YC10,69
mp-1186033,Na3Ag,194
mp-1205874,Lu6FeBi2,189
mp-31232,In2PO5,2
mp-1106355,Dy6Ni2Sn,71
mp-568143,TmB4,127
mp-753387,Li2Cu3F8,2
mp-1222844,LaPr3Al4O12,155
mp-1222534,Li4AlNi3O8,166
mp-33154,AgI2,115
mp-1094747,Mg2Cd,189
mp-1221067,NaCeS2,123
mp-1219910,Pr2AlSi,38
mp-639751,I,71
mp-23477,MnBiO3,15
mp-1111041,Rb2HgSbI6,225
mp-1215234,ZrMnNi,74
mp-13229,K3GdF6,14
mp-377,LuRh,221
mp-13695,SmCuO2,166
mp-1146,ThS2,62
mp-752545,LiMn2F7,13
mp-1219063,SmGd3Al4O12,6
mp-1218049,Ta3Mo3N4,99
mp-972072,YbYPd2,225
mp-1209123,Rh2WO6,136
mp-11750,Ti6Si2B,189
mp-974411,Re3Tc,194
mp-1206438,Rb2CuF6,225
mp-20163,Th2S3,62
mp-756696,Mg2Mn3O8,160
mp-866200,Li2SmTl,225
mp-1065609,GdTlTe2,166
mp-1222710,LiV5O10,5
mp-1223223,La2BrClO2,99
mp-3465,LaB2Rh3,191
mp-625700,MoH4O5,7
mp-1188952,Sm2Ge5Pt3,72
mp-976969,MgPb5,155
mp-510688,HoCoSi,62
mp-1206749,HoNiAs,187
mp-545820,SnO,64
mp-31115,Er3GaO6,36
mp-1272804,LiMn2O4,74
mp-1189575,Ta3Co5B2,127
mp-1383,UCo2,227
mp-1102211,Ho2Ga8Fe,123
mp-1209277,Rb3Ca2Cl7,139
mp-1025230,U2Re2C3,12
mp-865583,Y2Mg,63
mp-22214,Rb2RhF6,164
mp-1094419,Y2Mg,12
mp-3217,USeO,129
mp-1221777,MnCd4S5,8
mp-1210521,Na(RuO2)4,87
mp-555665,NaVO3,62
mp-1215472,YbTmS2,166
mp-27915,K2BeO2,14
mp-1208843,Sm2Sn5,65
mp-1226054,CoNiTe4,12
mp-1228454,Al2ZnSe4,6
mp-1114669,Rb2NaGaCl6,225
mp-1223832,K(SiPt)4,79
mp-672307,NdInPt,189
mp-601,PrP,225
mp-34375,Li7OsO6,1
mp-3228,HgSO4,31
mp-1086,TaC,225
mp-568337,ThRh2,194
mp-6270,Ba2LiReO6,225
mp-1219091,SmDyFe4,216
mp-1189016,MgU(PbO3)2,14
mp-11615,TmMnGe,189
mp-13271,ErAsPd,62
mp-768310,LaBiO3,161
mp-10388,Nb5(PPd)4,87
mp-1519421,BaTbEuWO6,2
mp-1206170,YCr2Si2C,123
mp-1226194,Cu6SnWS8,115
mp-1147715,BaCuS2,129
mp-865926,Cd2PdRh,225
mp-1079811,SmAu,62
mp-1187429,Ti2FeCo,225
mp-1114410,KRb2ScCl6,225
mp-1187917,Yb2TlHg,225
mp-975958,KNaMo(OF2)2,129
mp-1114592,Rb2NaNdBr6,225
mp-7437,KZnP,194
mp-1070146,DySi3Ir,107
mp-1188999,Ce5Sb3,193
mp-1225387,ErThCN,123
mp-31491,Sm(GePd)2,139
mp-1188851,Ho5BiAu2,140
mp-1079028,TbNiSb2,129
mp-1111181,K3AsBr6,225
mp-1103847,Tm3Ga8Ag3,71
mp-1226630,CeCo2SiB,107
mp-1112651,Cs3InBr6,225
mp-1215591,YbAg(MoO4)2,82
mp-1207418,ZrFeAs,62
mp-11833,UCuGe,187
mp-1227987,BaAlGaO4,5
mp-1225256,Eu2ZnSb2,187
mp-1226576,CeGa3Pt,119
mp-1219023,SmGa3Ni,119
mp-20540,YbSbPd,62
mp-1112792,Cs2KAsBr6,225
mp-753930,Li2VFeO5,129
mp-1105712,Er5Ge3C,193
mp-669367,KAl(SO4)2,150
mp-1226769,CeYIn6,123
mp-1104436,Yb(GaFe)6,71
mp-28214,TiBr3,2
mp-562809,GdBi2BrO4,123
mp-2602,NdAs,225
mp-505781,MnGePd2,225
mp-865792,BeSiNi2,225
mp-19000,VPO5,129
mp-1225350,Dy3TmMn8,160
mp-1222693,LaTh,166
mp-17424,TmGa3Ru,221
mp-1219249,Si3P3Ir,1
mp-554658,Cu(SbO3)2,58
mp-510582,NdNiSnH2,194
mp-1106144,Ce7Rh3,186
mp-1186754,Pr3In,194
mp-636805,Hg2ClO,2
mp-1273567,Li5Mn2CoO8,2
mp-755768,V3(O2F)2,1
mp-23143,Ca2Cu(ClO)2,139
mp-1059528,Pr,12
mp-753234,LiMn7O12,5
mp-1080654,LaPdPb,189
mp-754694,Na4WO4,87
mp-2026,PrTl3,221
mp-1227198,CaLaGaCuO5,8
mp-1100166,YMg3,123
mp-19243,VSb2O5,15
mp-867238,SmPb3,221
mp-9143,LiPF6,148
mp-29652,TaSe3,11
mp-865236,Tm2ZnOs,225
mp-1181515,Dy4Ge6Rh7,229
mp-1228901,AlAg,187
mp-545788,Ba3ZnN2O,123
mp-5878,KZnF3,221
mp-1076933,GdAl3Cu,107
mp-74,Rh,225
mp-1206945,Gd2Ni2Sn,71
mp-6389,NaLa2RuO6,14
mp-1188522,Pr5Si2Ge,140
mp-24095,PrH2,225
mp-11990,Pr2CdNi2,127
mp-505632,CsFeS2,71
mp-582389,Eu2B5Os3,5
mp-1225358,Fe7Ge4,187
mp-1215432,YbTmSe2,166
mp-1189757,Dy2SnS5,55
mp-29297,Cd3(ClO)2,14
mp-864912,YbGaPt,62
mp-867275,BeVOs2,225
mp-1113570,Cs2CeAgCl6,225
mp-22968,NaClO4,63
mp-1284156,Sr2HfFeO6,12
mp-1104916,V2Pb(OF4)2,2
mp-1228015,AlSiMo,153
mp-983428,PmDyIn2,225
mp-7003,CePPd,194
mp-1225649,ErAlFe,38
mvc-10202,HoMg(FeO3)2,31
mp-570236,Pr(PRu)2,139
mp-1209013,Sr2EuTaO6,14
mp-989619,LaTcN3,15
mp-1095234,DyNbO4,88
mp-1174251,Li6Mn3CoO10,8
mp-1189323,Zr5Sb3S,193
mp-19966,GdTl,221
mp-1069765,SmSi3Rh,107
mp-556296,BaS3,18
mp-12382,ErSi2Ni,63
mp-1113792,Rb2CrAgF6,225
mp-1212187,Hf3Ti2Ga3,193
mp-972069,Ti3Ga,139
mp-554993,Pd3(PbS)2,199
mp-561048,K3VSO3,11
mp-6779,Ba2Pr(CuO2)4,65
mp-1188367,ErZn3,62
mp-17895,K3BeF5,140
mp-22648,FeCu2SnS4,121
mp-863692,CsMn(CN)3,225
mp-1111175,K3DyCl6,225
mp-2172,AlAs,216
mp-1207748,YMn6(Sn2Ge)2,191
mvc-13672,La2VZnO6,148
mp-1222486,Li5Al(SiO4)2,5
mp-1079467,YAu3,59
mp-7447,Rb2Se3,36
mp-9985,NbNiB,63
mp-642736,K3H5Pd,127
mp-28591,Na4HgP2,166
mp-1102187,SmFe3,166
mp-10201,Ge2Mo,139
mp-22962,CsTiBr3,194
mp-1206273,Ba3UO6,225
mp-12924,KLaSiS4,11
mp-7774,Na2SbAu,63
mp-865856,PaBi3,139
mp-1188996,Ce5Bi3,193
mp-625054,AlHO2,36
mp-1189298,YbB4,127
mp-1189382,La2Co7,166
mp-1024957,TmInCu4,216
mp-30943,MgPSe3,148
mp-27637,NiBr2,166
mp-1247080,MgVCrS4,74
mp-1187445,ThPaTc2,225
mp-7600,Th(FeSi)2,139
mp-30356,SrAg2,74
mp-1078349,La2BiN,129
mp-1025065,LaMn2Ni3,191
mp-22400,MnCu2SnSe4,121
mp-1101256,Tl(SbO3)2,74
mp-1106190,Er4Ga12Ni,229
mp-22994,LiIO3,33
mp-1220140,Ni2P2(SeS)3,1
mp-1521056,Sr2SmSbO6,225
mp-1104766,U(Fe2Ge)2,136
mp-1185622,MgZrZn2,225
mp-983444,LiPmZn2,225
mp-865558,AcTe3,139
mp-27987,BrF5,36
mp-755053,Ga4SiO8,12
mp-1226892,Ce2(CoCu)5,47
mp-559563,Rb2NaCoF6,225
mp-1104140,Tm(Ni2P)2,136
mp-998555,InSnBr3,161
mp-643387,AlH2PbO2F3,2
mp-1218087,Ta3Mn8Al,156
mp-1519405,BaSrYWO6,2
mp-14005,KRuO4,88
mp-1018821,NdTlZn,194
mp-1178362,DyClO,166
mp-1177699,Li3Mn3CrO8,12
mp-31148,BaZnSn,194
mp-1519728,KSrPrWO6,216
mp-1103966,Cd(Mo3Se4)2,148
mp-20284,PdF2,205
mp-31183,ErAl4Ni,63
mp-754963,Li4Mn3Cr2O10,1
mp-755007,CeOF,166
mp-1214613,Ba2YCu3O8,123
mvc-13792,Ca2WN2,12
mp-1113623,Cs2GaAgCl6,225
mp-27226,MgCu2O3,59
mp-971738,ZnCuNi2,225
mp-865798,GaCu3,194
mp-1207268,Ba2PuPbO6,225
mp-754549,Na2CuO2,36
mp-975784,PrY3,139
mp-1095468,Dy3Sc2S7,12
mp-765701,Li4V3FeO8,166
mp-1225786,Cu2SnSe3,44
mp-1112534,Cs2NaScBr6,225
mp-10244,Zr3(CuSi)4,71
mp-7814,Ta2CS2,166
mp-1216936,U4TeSe7,6
mp-560399,NaMgF3,221
mp-1720,SmRu2,227
mp-1147648,Sr2CoSeO2,123
mp-754475,Tm2SeO2,139
mp-1025458,SmAl2Ni,63
mp-11852,NdCu2,74
mp-1208643,SrHfS3,62
mp-760476,LiU3O8,38
mp-15704,BeSiN2,122
mp-38975,PNO,145
mp-754001,VOF,65
mp-570430,TaCo2,194
mp-558815,Rb2LiVS4,70
mp-1226342,Cr4CoNiS8,216
mp-1079347,La(AsRh)2,129
mp-1215194,ZrVCo,38
mp-1002114,VH,225
mp-865007,Dy2MgIn,225
mp-1232342,Sr3LaTaAl3O12,38
mp-569224,SbI3,14
mp-643264,BaMg2FeH8,164
mvc-4133,Ca2CoSbO6,11
mp-998980,TiAlFeCo,216
mp-28156,NaGdCl4,2
mp-545622,ZnWO4,15
mp-569525,NaLi5N2,6
mp-1220277,Nd2FeSi2Ru,115
mp-7421,KZnAs,194
mp-982667,LiAl2Os,225
mp-1114373,Rb2YTlF6,225
mp-5568,Nd3Co11B4,191
mp-1069712,Ba(CdGe)2,139
mp-978975,TbYTl2,225
mp-756702,PrBrO,166
mp-606680,CsLi2Br3,71
mp-1224149,Ho4Ge8Pd,25
mvc-11741,Ca(MnS2)4,166
mp-12406,US3,11
mp-773864,TiSnO4,119
mp-1114541,KRb2LuCl6,225
mp-1095136,La(BOs)2,70
mp-972257,LaTb3,194
mp-1025824,MoW2(SeS2)2,156
mp-567371,Sr3Li4(GeN3)2,12
mp-1217704,Tb2CoGe4,38
mp-755856,Mg2SnO4,55
mp-753980,Li4Mn2TeWO12,1
mp-574189,PbI2,166
mp-559588,CdSbS2Br,12
mp-20961,EuPd3S4,223
mp-1100766,Ni3Pt,139
mp-9793,Ba3BAsO3,194
mp-1215930,YBiTe3,160
mp-19274,BaPrMn2O6,123
mp-4668,K(CoSe)2,139
mp-8469,Li8IrO6,148
mp-1226876,Ce2Ge3Rh,44
mp-1206069,Lu3(CuSn)4,12
mp-23231,AgBr,225
mp-23703,LiH,225
mp-1189147,Mn3Ga4Ni9,221
mp-1225319,Eu2PCl,123
mp-1183063,Ac2CdGe,225
mp-1523149,KBaPrWO6,216
mp-551250,ErBi2IO4,123
mp-1207057,TmBiPt,216
mp-1183760,Ce2AgHg,225
mp-4939,Dy(FeSi)2,139
mp-1222863,LaY3Ti4O12,6
mp-1105231,Ba5P4,64
mp-13346,CsUAgS3,63
mp-10528,Ho2AlSi2,71
mp-1222591,Li3Al2CoO6,164
mp-8159,TlCu4S3,123
mp-763291,V3O5F,31
mp-20601,NdPb3,221
mp-1184832,HoSnAu2,225
mp-989610,Cs2NaInH6,225
mp-1102412,CrO2,60
mp-21064,EuNi2B2C,139
mp-997158,CoAuO2,194
mp-1186673,PmZnAg2,225
mp-1288374,LiV3O4,35
mp-1183118,AcLaCd2,225
mp-1188292,Y5Pb3,193
mp-2615,LaZn,221
mp-1220518,Nb4Ni(CS2)2,10
mp-1215662,Zr2CrFe3,194
mp-16258,CaCdGe,189
mp-1272379,Co(HO)2,12
mp-1225979,CsCoCuF6,74
mp-1078140,Mn(InSe2)2,160
mp-2544,Zr2Be17,166
mp-1114470,Rb2TlAsCl6,225
mp-1215186,ZrTiCo4,216
mp-864924,NdMgHg2,225
mp-2385,TaCr2,227
mp-1224010,HgBrCl,62
mp-567621,Er3(CuGe)4,71
mp-23059,Rb2SnCl6,225
mp-1106389,KBiF6,116
mp-1219833,Pr3Si3Ni,44
mp-867751,Ca2AgSn,225
mp-1039008,Ce2Mg,12
mp-30228,Li4HN,88
mp-1068164,Tb2InNi2,65
mp-1225310,Dy2Al3Fe,166
mp-642690,CsGeI3,8
mp-975570,PuNiC2,38
mp-676650,Li6Br3N,8
mp-3333,Eu(NiGe)2,139
mp-20496,Ga2PbO4,40
mp-865622,Li2HoIn,225
mvc-4675,Zn(CuO2)2,227
mp-1080467,KCd4P3,166
mp-20947,CaRuO3,62
mp-867282,Tb2IrRh,225
mp-29326,La3(ReO5)2,12
mp-999132,SmTlTe2,166
mp-1226593,CeY(GaPd2)2,26
mp-1227350,CaAgGe,12
mp-992,CaGa2,191
mp-1266,Na2Se,225
mp-20737,KNaEuNbO5,129
mp-541429,BaEu2CoO5,71
mp-1210264,NaCu2(SeO5)2,12
mp-1077741,YbCu4Ag,216
mp-1008349,Co3Ni,221
mp-1067235,BaSi,12
mp-1221000,NaTaWO6,74
mp-568173,LaMgSi2,141
mp-1219446,SbAsPd,198
mp-567594,Cs2HgI4,4
mp-1520532,SrCaDyBiO6,8
mp-1245824,AlIn2N3,36
mp-1950,SrS2,140
mp-866029,Gd2IrPd,225
mp-676562,Yb3Sm3S8,5
mp-769263,TbInO3,62
mp-1079582,VIr,65
mp-1079238,ZrReSi,189
mp-1220982,NaLiGa2(SiO3)4,5
mp-1105910,Pu2Zn17,166
mp-23871,CsMnP3HO10,5
mp-2725,TbIr2,227
mp-554941,KRb2BiF6,225
mp-753978,Li2FeNi3O8,12
mp-1218818,Sr2FeSnO6,123
mp-1104102,Yb(Ni2As)2,136
mp-567994,Er5(NiTe)2,63
mp-1227539,Ca2Al2O5,12
mp-1184371,Gd2AgIr,225
mp-1080835,V2GaC,194
mp-1188158,YSiPt2,62
mp-862817,PaHgAu2,225
mp-1518664,KLaNb2O6,225
mp-760490,Mg7Cu2O9,12
mp-1189438,TlBi2Cl7,2
mp-1079468,ZnCu2SnTe4,121
mp-1516349,SrEuNiWO6,216
mp-1106099,Y2MnCrO6,14
mp-1025986,Te2Mo3S4,187
mp-1075902,EuCuO3,221
mp-1025363,Dy2Mo2C3,12
mp-989535,Cs2AlInH6,225
mp-28853,LaAuO3,57
mp-1077589,TaPS,71
mp-865904,BeSiIr2,225
mp-1078235,TmInPd,189
mp-1228935,AlIn(AgS2)2,82
mp-1217379,Th5C4,166
mp-22343,Ce(GeRu)2,139
mp-1836,TlSe,140
mp-27413,Mo8P5,6
mp-25576,Li(MoO2)2,15
mp-1188133,Tm2Te3,70
mp-1521105,BaSrCeZrO6,2
mp-619501,U2Te3,62
mp-1218758,Sr2LaGaO5,69
mp-6964,NaTbO2,141
mp-973606,Nd2IrAu,225
mp-558536,RbCdAuS2,54
mp-1205713,Ba2YUO6,225
mp-27641,CsBr3,62
mp-1218464,Sr4TlFe2O9,42
mp-24336,MgH4(ClO)2,12
mp-16565,CdCu2SnSe4,121
mp-1205555,USiOs2C,63
mp-1030119,MoWS4,164
mp-754199,BaSrI4,15
mp-655448,Dy3Ge4,63
mp-567296,CdI2,164
mp-19802,TbCoO3,62
mp-554769,MoSBr,216
mp-966800,InP,186
mp-1211832,K2MnI4,11
mp-1103293,ZrSiOs,62
mp-558387,TeOF2,4
mp-867122,Ac2CuSi,225
mp-1187376,TbSmRh2,225
mp-10760,MgSe,225
mp-1103261,SiPtSe,29
mp-996960,AgNO2,5
mp-756542,MnVO4,74
mp-36526,AcOF,216
