formula,n_atom,a,b,c,alpha,beta,gamma,density,unique_elems,is_dup,cif_path,source
LiCa6GdTi3Tl2Cd2Ga3Co2Cu3Ag6Hg2PdRu4(PbI)2,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,34.69653013918385,15,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0014.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0014.cif
NaSr2Ca3Gd2MgTi5Al3Ga2Co3Cu4Ag7SnSbTeRu3I,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,27.401881934473387,16,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0015.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0015.cif
Na2Li2Ca3SmMgTi3In2Ga2CoCu4Ag2Hg4GeSb6Ru5Pb,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,32.81969501841278,16,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0016.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0016.cif
LiCaTbEu2Mg2Ti3Cd2InGa3Co2CuAg5Hg6(Sb3Ru2)2,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,38.08245171356199,15,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0017.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0017.cif
Li2Ca3Eu2GdMgTi3AlIn2Ga3Co2Cu2Ag4Sb6(RuAu)4,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,33.82447260250167,15,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0018.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0018.cif
Li2Ca4Eu2Ti4Al2Tl2Ga2Co2CuAg5SnHg4Sb5Ru4,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,34.69519538107944,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0019.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0019.cif
Li2Ca5PmMg2Ti4Tl2Ga2Co2Cu3Ag3Sn4Hg4(SbRu2)2,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,32.733673869144894,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0020.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0020.cif
LiCaMg5Sc4PaTi2BeTl2Zn2TcHgTe3C2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,16.92823795536143,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0021.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0021.cif
LiCaEuMg6Sc4TaTiBe2Tl2Zn2Hg(PbC)2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,17.111865032651092,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0022.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0022.cif
CaYbEuMg8Sc4TaTi2Be2TlZn2HgC2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,13.986148864826314,12,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0023.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0023.cif
CaEuMg8Sc4TaTiBeNbTl2Zn2TcHgC2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,15.437273643234379,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0024.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0024.cif
CaYbEuMg6Sc4TaTi2BeTlZn2TcHg(PbC)2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,17.9768205284634,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0025.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0025.cif
CaEuMg4Sc4TaTi2Be2Tl2Zn3HgTe3CN,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,17.35862657952394,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0026.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0026.cif
LiCaEuMg5Sc4TaTiBe2Tl2Zn2HgTe3C2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,16.62129911117154,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0027.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0027.cif
CaYbEuMg8Sc4TaTiBeTlZn2TcHgRhC2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,15.249978636885656,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0028.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0028.cif
CaYbEuMg8Sc4TaTiBe2NbTlZn2HgC2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,14.381369058951487,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0029.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0029.cif
LiCaEuMg5Sc4TaTiBeTl2Zn2HgTe3RhC2,26,4.88512754,6.395358090000001,6.57602072,112.87458038,89.61576843000002,91.39128113,17.44521221492689,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0030.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0030.cif
Li2Ca5Mg2Nb3AlFe(Ni2Ir3)2,24,8.046738620000001,8.07212925,8.03253937,64.82211304,64.18178558,60.95548248000001,8.457524295208211,8,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0031.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0031.cif
Tb2Sm2Mg3Al5,12,4.88087654,5.55613947,5.61881351,109.3875351,87.84323883,88.59562683,9.561267626843854,4,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0032.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0032.cif
NdMg2TcSb,10,5.11349821,5.17182589,5.47885895,110.12308502000002,101.7508316,90.5771637,10.327107477722205,4,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0033.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0033.cif
Ce2Y2Th2Tl4Pb2C3,15,5.45199394,6.103212830000001,5.93096685,93.15402222000002,79.96151733,82.05453491,18.958060818827256,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0034.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0034.cif
VCr3Ga2Ni7Bi8Rh3,24,4.23103952,4.59307289,8.10382366,88.99311066,89.59568787,86.20168304,28.935991750581422,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0035.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0035.cif
NdMgInSiHg,5,3.88348842,4.315113539999999,4.92889595,115.8516922,92.66946411,90.61917877000002,11.458154731734478,5,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0036.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0036.cif
Na4ZnCu6Ag4GeS10,26,5.421123500000001,5.710354800000001,13.14651203,90.39991760000001,89.98666382,90.33251953000001,5.563262360418605,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0037.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0037.cif
La2YbZnInAg,12,5.296429160000001,6.619174000000001,6.68469286,101.0229187,87.89715576,91.58647919,10.678240378330662,5,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0038.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0038.cif
Pa2Mn3Co3Bi3TeRh4,16,5.29165125,5.9332695,5.95911074,95.50975037000002,74.919487,74.63906097,19.079081198982554,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0039.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0039.cif
Ac2MgSn,8,4.13457298,4.14460993,6.34740782,71.53860474,72.67728424,61.419746400000015,22.229642758281948,3,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0040.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0040.cif
SmMgCdNiBi2,12,5.573520179999999,5.531795500000001,6.718256,109.89768982000001,106.81598663,105.24359130999997,14.854215755156936,5,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0041.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0041.cif
HoLuMg2Be5Fe2SiNi6,18,4.19978905,5.25842047,6.10404825,113.00748444,104.57210541,90.83752441000001,12.901620759008509,7,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0042.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0042.cif
Na2Y4HoMgScCdCo3HgI4,18,4.357931139999999,7.223916050000001,7.32623243,95.29975128000001,82.69949341,84.00979614000002,11.988779565957955,9,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0043.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0043.cif
MgCd2GeBi4,16,4.32151365,8.39628029,12.39724731,110.91097259999998,98.96955872000001,102.38032532,9.687255651359774,4,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0044.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0044.cif
AcLa7Ce5C8,21,3.3071289099999994,3.31064701,3.299191,61.40666962000001,61.540275569999984,63.138610840000005,124.19970339366424,4,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0045.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0045.cif
Li2Ac(TiC)2,7,4.299333570000001,4.341991420000001,4.82956362,90.35710907000002,88.81329346,90.37685394000002,6.644043924063162,4,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0046.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0046.cif
Li2Mg4ReHg2Rh4Pb3,16,4.68340445,5.690076349999999,6.23688889,117.39012909000002,94.07009888,90.28873444,19.552651277012927,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0047.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0047.cif
ErAlFeSiAg,10,4.19865942,4.21568489,4.90675592,112.65008545,110.1230545,101.72070312000001,18.477588773110217,5,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0048.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0048.cif
Li2Ca2Y2Al2Tl2NiP4Ru,16,4.56533241,6.123401640000001,6.22116804,118.57507323999998,90.63864136000001,89.32585144,11.071611122855161,8,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0049.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0049.cif
Sr2Tl6In4GaCu2AgRh2,18,6.56063747,6.765268799999999,7.05355358,84.42926025,71.4319458,70.89763641,14.041892226997184,7,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0050.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0050.cif
KRbTm4Ni4PdCl5,16,5.36695766,6.34286737,6.42495251,110.78926086,87.15422821,88.0164566,10.739562887582046,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0051.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0051.cif
Mg5Cu2NiHg(Sb2Ir)4,21,6.22600889,7.90085173,7.98765373,100.72558594,82.14194489,83.88712311000002,9.8644089448921,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0052.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0052.cif
LiCeThMgSiTe4,9,2.9104735899999996,2.9911143799999995,2.88319898,113.73895264,92.15878296000001,97.0760498,68.91338391933564,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0053.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0053.cif
RbYbTm2MgBeTlZn2CdCu2AgPPdS7,22,3.89496541,5.752294540000001,7.33887863,106.19025421,94.59562683,106.63005828999998,18.657374559731487,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0054.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0054.cif
Mg2ZrAl(NiTe)2,8,4.6464901,4.56722832,6.86011696,87.99697113,86.41672516,91.67900848,6.17141065233264,5,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0055.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0055.cif
KCaAcTl2Cd2Ga(HgRh)2,12,5.39696217,5.48982382,9.19714165,86.15022277999998,87.67597198000001,109.28028869999999,10.4826741733329,8,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0056.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0056.cif
Li5Tm(BeAl2)2,12,3.5497739300000006,3.91254115,4.96844101,101.92987061,105.82868957999997,91.95150757,8.465017124549737,4,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0057.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0057.cif
SrGa3NiHg,6,4.39311838,4.64749622,5.71792316,105.05023956,102.90141296000002,90.50577545,8.423823543283119,4,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0058.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0058.cif
LiDy2Mg2Cd2Ag2Hg,10,5.49120045,5.77388525,5.57626677,71.52328491,62.809463499999985,61.03614426,12.424661838846836,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0059.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0059.cif
GdU2Ti3AlFe2Co2SnGe6,18,4.20477819,4.25368595,13.45699692,90.43231963999999,90.07234955,118.39868164,12.455076583715021,8,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0060.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0060.cif
NdYHf4V2(BiW)2,12,4.16531563,5.503799440000001,6.39893579,100.40699767999999,103.24047852000001,90.88017273,21.729429770569215,6,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0061.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0061.cif
SrCeMg2AlNi2MoN3,11,4.56688356,4.8376150099999995,5.19223356,97.97677612000001,88.29235077,88.95220184,8.172018004010297,7,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0062.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0062.cif
Rb4Ba2Ca2Y4LuThAlCdIn2GaCu5Hg2Ge2Te5P4IrSe8S4Br7NO,59,5.06230545,7.22402716,7.63385963,115.62155914,92.64598082999998,97.50125122,33.92944333649324,21,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM1_0001.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM1_0001.cif
RbBaSr2CeCdSiSnHgGeTe6AsPIrPt6S18I,44,4.76554441,4.83491564,5.56133699,69.60999298,68.80445861999999,73.15543365000002,60.51726591746476,16,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM1_0002.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM1_0002.cif
